away_team_abbr,home_team_abbr,date,start_time,day_night,venue,field_type,away_team_errors,home_team_errors,away_team_hits,home_team_hits,away_team_runs,home_team_runs,game_id
KC,ARI,20220524,01:40,N,Chase Field,retractable,0,2,12,10,5,9,KCARI20220524N
TOR,STL,20220523,23:45,N,Busch Stadium,outdoor,0,0,4,10,3,7,TORSTL20220523N
LAD,WSH,20220523,23:05,N,Nationals Park,outdoor,0,0,12,7,10,1,LADWSH20220523N
CHC,CIN,20220523,22:40,N,Great American Ball Park,outdoor,1,0,8,5,7,4,CHCCIN20220523N
COL,PIT,20220523,22:35,N,PNC Park,outdoor,0,2,7,9,1,2,COLPIT20220523N
BAL,NYY,20220523,23:05,N,Yankee Stadium,outdoor,1,0,10,5,6,4,BALNYY20220523N
NYM,SF,20220524,01:45,N,Oracle Park,outdoor,0,0,18,7,13,3,NYMSF20220524N
BAL,NYY,20220524,23:05,N,Yankee Stadium,outdoor,0,0,7,11,6,7,BALNYY20220524N
OAK,SEA,20220525,01:40,N,T-Mobile Park,retractable,0,1,13,9,7,5,OAKSEA20220525N
LAD,WSH,20220524,23:05,N,Nationals Park,outdoor,1,0,9,10,9,4,LADWSH20220524N
DET,MIN,20220524,23:40,N,Target Field,outdoor,0,0,5,8,0,2,DETMIN20220524N
COL,PIT,20220524,22:35,N,PNC Park,outdoor,1,1,7,5,2,1,COLPIT20220524N
MIL,SD,20220525,01:40,N,PETCO Park,outdoor,1,1,5,8,4,1,MILSD20220525N
TOR,STL,20220524,23:45,N,Busch Stadium,outdoor,0,2,12,6,8,1,TORSTL20220524N
CLE,HOU,20220525,00:10,N,Minute Maid Park,retractable,1,0,7,9,3,7,CLEHOU20220525N
KC,ARI,20220525,01:40,N,Chase Field,retractable,0,0,9,9,6,8,KCARI20220525N
NYM,SF,20220525,01:45,N,Oracle Park,outdoor,0,0,18,19,12,13,NYMSF20220525N
MIA,TB,20220524,22:40,N,Tropicana Field,indoor,0,0,5,10,0,4,MIATB20220524N
BOS,CWS,20220525,00:10,N,Guaranteed Rate Field,outdoor,0,0,19,6,16,3,BOSCWS20220525N
CHC,CIN,20220524,22:40,N,Great American Ball Park,outdoor,0,1,15,8,11,4,CHCCIN20220524N
TEX,LAA,20220525,01:38,N,Angel Stadium,outdoor,1,0,6,12,3,5,TEXLAA20220525N
PHI,ATL,20220524,23:20,N,Truist Park,outdoor,1,0,10,14,5,6,PHIATL20220524N
MIA,TB,20220525,22:40,N,Tropicana Field,indoor,0,2,9,6,4,5,MIATB20220525N
DET,MIN,20220525,17:10,D,Target Field,outdoor,1,1,8,7,4,2,DETMIN20220525D
TEX,LAA,20220526,01:38,N,Angel Stadium,outdoor,0,0,10,6,7,2,TEXLAA20220526N
CLE,HOU,20220526,00:10,N,Minute Maid Park,retractable,1,0,4,7,1,2,CLEHOU20220526N
MIL,SD,20220525,20:10,D,PETCO Park,outdoor,1,0,4,5,2,1,MILSD20220525D
BOS,CWS,20220526,00:10,N,Guaranteed Rate Field,outdoor,1,0,7,5,1,3,BOSCWS20220526N
CHC,CIN,20220525,22:40,N,Great American Ball Park,outdoor,0,0,5,7,3,4,CHCCIN20220525N
NYM,SF,20220525,19:45,D,Oracle Park,outdoor,0,0,5,8,3,9,NYMSF20220525D
BAL,NYY,20220525,23:05,N,Yankee Stadium,outdoor,1,1,5,6,0,2,BALNYY20220525N
LAD,WSH,20220525,20:05,D,Nationals Park,outdoor,0,0,6,6,0,1,LADWSH20220525D
COL,PIT,20220525,16:35,D,PNC Park,outdoor,0,0,13,9,5,10,COLPIT20220525D
PHI,ATL,20220525,23:20,N,Truist Park,outdoor,1,0,11,13,4,8,PHIATL20220525N
OAK,SEA,20220525,20:10,D,T-Mobile Park,retractable,0,0,9,5,4,2,OAKSEA20220525D
TOR,LAA,20220527,01:38,N,Angel Stadium,outdoor,0,0,7,10,6,3,TORLAA20220527N
BOS,CWS,20220527,00:10,N,Guaranteed Rate Field,outdoor,0,1,19,10,16,7,BOSCWS20220527N
CLE,DET,20220526,23:10,N,Comerica Park,outdoor,0,1,8,9,3,4,CLEDET20220526N
PHI,ATL,20220526,23:20,N,Truist Park,outdoor,0,0,6,5,4,1,PHIATL20220526N
MIL,STL,20220526,23:45,N,Busch Stadium,outdoor,0,1,12,7,4,3,MILSTL20220526N
NYY,TB,20220526,22:40,N,Tropicana Field,indoor,1,2,6,6,7,2,NYYTB20220526N
LAD,ARI,20220527,01:40,N,Chase Field,retractable,0,1,24,8,14,1,LADARI20220527N
COL,WSH,20220526,23:05,N,Nationals Park,outdoor,1,2,8,9,3,7,COLWSH20220526N
KC,MIN,20220526,23:40,N,Target Field,outdoor,1,0,6,12,3,2,KCMIN20220526N
CHC,CIN,20220526,16:35,D,Great American Ball Park,outdoor,0,1,8,20,5,20,CHCCIN20220526D
TEX,OAK,20220527,01:40,N,Oakland Coliseum,outdoor,0,0,7,5,4,1,TEXOAK20220527N
MIA,ATL,20220527,23:20,N,Truist Park,outdoor,0,1,5,6,4,6,MIAATL20220527N
LAD,ARI,20220528,01:40,N,Chase Field,retractable,0,1,8,9,6,4,LADARI20220528N
MIL,STL,20220528,00:15,N,Busch Stadium,outdoor,1,0,8,5,2,4,MILSTL20220528N
CLE,DET,20220704,22:40,N,Comerica Park,outdoor,1,0,6,10,3,5,CLEDET20220704N
HOU,SEA,20220528,01:40,N,T-Mobile Park,retractable,1,0,9,10,1,6,HOUSEA20220528N
TEX,OAK,20220528,01:40,N,Oakland Coliseum,outdoor,1,1,13,5,8,5,TEXOAK20220528N
NYY,TB,20220527,23:10,N,Tropicana Field,indoor,0,0,6,2,2,0,NYYTB20220527N
COL,WSH,20220528,16:05,D,Nationals Park,outdoor,1,0,12,14,7,13,COLWSH20220528D
TOR,LAA,20220528,01:38,N,Angel Stadium,outdoor,3,1,11,7,4,3,TORLAA20220528N
PHI,NYM,20220527,23:10,N,Citi Field,outdoor,2,1,9,9,6,8,PHINYM20220527N
BAL,BOS,20220527,23:10,N,Fenway Park,outdoor,2,1,15,14,12,8,BALBOS20220527N
KC,MIN,20220528,00:10,N,Target Field,outdoor,1,1,13,15,7,10,KCMIN20220528N
PIT,SD,20220528,01:40,N,PETCO Park,outdoor,0,0,4,8,3,4,PITSD20220528N
SF,CIN,20220527,22:40,N,Great American Ball Park,outdoor,1,0,6,9,1,5,SFCIN20220527N
BAL,BOS,20220528,22:10,N,Fenway Park,outdoor,1,1,7,9,4,2,BALBOS20220528N
LAD,ARI,20220528,23:15,N,Chase Field,retractable,0,0,10,5,3,2,LADARI20220528N
SF,CIN,20220528,20:10,D,Great American Ball Park,outdoor,0,0,12,5,2,3,SFCIN20220528D
BAL,BOS,20220528,16:10,D,Fenway Park,outdoor,0,1,7,13,3,5,BALBOS20220528D
CLE,DET,20220528,20:10,D,Comerica Park,outdoor,0,1,11,10,8,1,CLEDET20220528D
NYY,TB,20220528,20:10,D,Tropicana Field,indoor,0,0,4,7,1,3,NYYTB20220528D
PIT,SD,20220529,02:10,N,PETCO Park,outdoor,1,1,8,10,4,2,PITSD20220529N
MIL,STL,20220528,18:15,D,Busch Stadium,outdoor,1,2,7,12,3,8,MILSTL20220528D
CHC,CWS,20220528,23:15,N,Guaranteed Rate Field,outdoor,0,1,10,7,5,1,CHCCWS20220528N
KC,MIN,20220528,18:10,D,Target Field,outdoor,0,1,11,11,7,3,KCMIN20220528D
TOR,LAA,20220529,02:07,N,Angel Stadium,outdoor,0,1,10,13,6,5,TORLAA20220529N
MIA,ATL,20220528,20:10,D,Truist Park,outdoor,0,0,8,5,4,1,MIAATL20220528D
PHI,NYM,20220528,23:15,N,Citi Field,outdoor,0,1,7,10,2,8,PHINYM20220528N
COL,WSH,20220528,16:05,D,Nationals Park,outdoor,1,0,12,14,7,13,COLWSH20220528D
HOU,SEA,20220529,02:10,N,T-Mobile Park,retractable,2,0,5,13,0,6,HOUSEA20220529N
TEX,OAK,20220528,20:07,D,Oakland Coliseum,outdoor,2,0,18,10,11,4,TEXOAK20220528D
COL,WSH,20220528,22:05,N,Nationals Park,outdoor,0,2,10,8,3,2,COLWSH20220528N
COL,WSH,20220529,17:35,D,Nationals Park,outdoor,1,0,10,9,5,6,COLWSH20220529D
