home_away,ab,r,h,rbi,bb,so,pa,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,pitches,strikes_total,wpa_bat,leverage_index_avg,wpa_bat_pos,wpa_bat_neg,re24_bat,po,a,game_id,team
away,33,1,6,1,0,14,33,0.182,0.182,0.273,0.455,117,80,,,,,,24,13,NYMMIA20240324D,NYM
home,34,1,8,1,0,11,34,0.235,0.235,0.265,0.5,134,90,,,,,,27,10,OAKSF20240327N,SF2
away,31,3,6,3,2,6,35,0.194,0.229,0.29,0.519,136,81,,,,,,27,10,OAKSF20240327N,OAK
home,33,2,8,2,2,11,35,0.242,0.286,0.424,0.71,142,91,,,,,,27,9,TORTB20240328D,TB2
away,32,8,7,8,7,7,40,0.219,0.375,0.531,0.906,149,88,,,,,,27,9,TORTB20240328D,TOR
home,33,3,9,3,0,5,34,0.273,0.294,0.606,0.9,123,82,,,,,,27,9,SFSD20240330N,D20
away,38,8,13,8,2,7,42,0.342,0.405,0.553,0.958,156,106,,,,,,27,10,SFSD20240330N,SFS
home,38,11,16,11,4,6,43,0.421,0.465,0.737,1.202,157,99,,,,,,27,10,CHCTEX20240330N,TEX
away,29,2,5,2,2,8,31,0.172,0.226,0.276,0.502,124,76,,,,,,24,10,CHCTEX20240330N,CHC
home,28,5,5,4,2,6,31,0.179,0.258,0.321,0.579,117,81,,,,,,27,12,COLAZ20240331D,AZ2
away,32,1,8,1,0,9,34,0.25,0.294,0.25,0.544,136,92,,,,,,24,12,COLAZ20240331D,COL
home,32,5,9,2,3,4,35,0.281,0.343,0.281,0.624,137,86,,,,,,27,3,COLCHC20240401D,CHC
away,31,0,3,0,1,9,32,0.097,0.125,0.097,0.222,129,89,,,,,,24,11,COLCHC20240401D,COL
home,35,7,11,6,4,7,39,0.314,0.385,0.429,0.814,150,94,,,,,,27,9,NYYAZ20240403N,AZ2
away,28,0,3,0,3,8,31,0.107,0.194,0.107,0.301,131,77,,,,,,24,12,NYYAZ20240403N,NYY
home,34,0,8,0,3,5,37,0.235,0.297,0.265,0.562,153,96,,,,,,27,13,BOSOAK20240403D,OAK
away,32,1,10,1,0,5,34,0.313,0.324,0.344,0.668,111,78,,,,,,27,12,BOSOAK20240403D,BOS
home,26,2,3,2,5,5,33,0.115,0.258,0.231,0.489,125,79,,,,,,27,9,DETNYM20240404D,NYM
away,30,1,5,1,4,10,34,0.167,0.265,0.167,0.432,135,78,,,,,,25,6,DETNYM20240404D,DET
home,36,6,6,6,3,10,41,0.167,0.268,0.25,0.518,166,108,,,,,,27,9,BOSLAA20240406N,LAA
away,34,8,9,8,5,6,43,0.265,0.395,0.706,1.101,164,95,,,,,,27,8,BOSLAA20240406N,BOS
home,31,3,5,3,4,8,36,0.161,0.25,0.29,0.54,118,73,,,,,,27,8,SEAMIL20240406N,MIL
away,35,5,10,5,3,11,38,0.286,0.342,0.457,0.799,139,92,,,,,,27,9,SEAMIL20240406N,SEA
home,32,2,7,2,4,15,36,0.219,0.306,0.313,0.619,171,113,,,,,,27,12,TBCOL20240407D,OL2
away,34,3,8,3,3,6,37,0.235,0.297,0.353,0.65,137,87,,,,,,27,9,TBCOL20240407D,TBC
home,37,7,12,7,7,12,44,0.324,0.432,0.486,0.918,193,111,,,,,,27,11,NYMATL20240408N,ATL
away,35,8,11,8,7,8,42,0.314,0.429,0.571,1.0,177,113,,,,,,27,7,NYMATL20240408N,NYM
home,34,3,10,2,5,6,41,0.294,0.375,0.294,0.669,166,111,,,,,,27,7,WSHSF20240410N,SF2
away,33,5,8,5,0,9,36,0.242,0.278,0.394,0.672,148,99,,,,,,27,13,WSHSF20240410N,WSH
home,33,5,8,5,4,13,37,0.242,0.324,0.333,0.657,142,91,,,,,,27,7,BALBOS20240410N,BOS
away,36,7,9,6,5,11,43,0.25,0.357,0.417,0.774,158,97,,,,,,27,9,BALBOS20240410N,BAL
home,30,1,4,1,1,10,32,0.133,0.156,0.167,0.323,125,83,,,,,,27,8,MINDET20240413N,DET
away,33,4,7,4,3,11,37,0.212,0.27,0.394,0.664,134,96,,,,,,27,5,MINDET20240413N,MIN
home,29,4,6,4,5,11,35,0.207,0.343,0.207,0.55,143,87,,,,,,27,5,CHCSEA20240413N,SEA
away,32,2,4,1,3,7,35,0.125,0.2,0.25,0.45,151,99,,,,,,24,6,CHCSEA20240413N,CHC
home,34,4,9,4,6,9,41,0.265,0.39,0.382,0.772,148,96,,,,,,27,6,PITPHI20240413D,PHI
away,31,3,5,3,5,10,36,0.161,0.278,0.29,0.568,170,101,,,,,,25,6,PITPHI20240413D,PIT
home,34,9,10,9,2,6,36,0.294,0.333,0.676,1.009,126,77,,,,,,27,7,SFTB20240414D,B20
away,36,4,10,4,1,9,37,0.278,0.297,0.472,0.769,132,95,,,,,,24,8,SFTB20240414D,SFT
home,29,0,5,0,5,7,35,0.172,0.294,0.207,0.501,144,92,,,,,,27,9,TEXDET20240415N,DET
away,33,1,7,1,1,8,34,0.212,0.235,0.242,0.477,126,85,,,,,,27,13,TEXDET20240415N,TEX
home,28,3,4,2,2,9,31,0.143,0.226,0.25,0.476,117,85,,,,,,27,10,PITNYM20240416N,NYM
away,31,1,5,1,4,13,35,0.161,0.257,0.194,0.451,152,94,,,,,,24,8,PITNYM20240416N,PIT
home,33,4,9,4,4,5,38,0.273,0.342,0.485,0.827,157,97,,,,,,27,9,NYYTOR20240417D,TOR
away,36,6,11,6,4,11,40,0.306,0.375,0.556,0.931,191,120,,,,,,27,13,NYYTOR20240417D,NYY
home,38,7,11,7,6,7,44,0.289,0.386,0.5,0.886,169,96,,,,,,27,11,TEXDET20240418D,DET
away,41,9,13,8,3,7,46,0.317,0.37,0.61,0.98,159,103,,,,,,27,8,TEXDET20240418D,TEX
home,32,3,8,3,1,8,34,0.25,0.265,0.438,0.703,140,91,,,,,,27,12,HOUWSH20240419N,WSH
away,37,5,13,5,2,5,40,0.351,0.375,0.432,0.807,173,113,,,,,,27,10,HOUWSH20240419N,HOU
home,35,7,8,6,4,6,40,0.229,0.325,0.371,0.696,156,96,,,,,,27,12,BALKC20240420N,KC2
away,42,9,15,8,3,9,45,0.357,0.4,0.5,0.9,183,128,,,,,,27,9,BALKC20240420N,BAL
home,32,10,9,10,7,5,40,0.281,0.425,0.594,1.019,162,94,,,,,,27,13,NYMLAD20240421D,LAD
away,32,0,7,0,0,10,32,0.219,0.219,0.219,0.438,108,76,,,,,,24,5,NYMLAD20240421D,NYM
home,31,5,8,5,5,7,36,0.258,0.361,0.387,0.748,141,82,,,,,,27,14,NYMSF20240423N,SF2
away,30,2,4,1,3,7,33,0.133,0.212,0.233,0.445,131,89,,,,,,24,13,NYMSF20240423N,NYM
home,29,0,3,0,4,9,33,0.103,0.212,0.172,0.384,131,81,,,,,,27,10,SEATEX20240424N,TEX
away,31,4,6,4,5,10,36,0.194,0.306,0.452,0.758,165,101,,,,,,27,9,SEATEX20240424N,SEA
home,30,5,8,5,5,8,37,0.267,0.405,0.567,0.972,156,97,,,,,,27,10,SEATEX20240425N,TEX
away,35,1,8,1,2,14,37,0.229,0.27,0.314,0.584,155,106,,,,,,24,7,SEATEX20240425N,SEA
home,17,2,3,2,3,1,20,0.176,0.3,0.471,0.771,67,45,,,,,,15,4,TORKC20240425D,KC2
away,17,1,3,1,3,4,21,0.176,0.3,0.235,0.535,76,46,,,,,,15,5,TORKC20240425D,TOR
home,40,7,10,7,3,11,44,0.25,0.295,0.45,0.745,174,113,,,,,,33,13,NYYMIL20240427N,MIL
away,37,6,6,6,5,8,43,0.162,0.279,0.432,0.711,163,100,,,,,,31,7,NYYMIL20240427N,NYY
home,38,2,7,2,0,11,39,0.184,0.205,0.289,0.494,138,91,,,,,,33,14,CLEATL20240427N,ATL
away,37,4,8,3,2,9,43,0.216,0.302,0.27,0.572,153,108,,,,,,33,15,CLEATL20240427N,CLE
home,28,4,6,4,3,11,31,0.214,0.29,0.429,0.719,130,81,,,,,,27,7,CINTEX20240428D,TEX
away,33,3,6,2,1,15,35,0.182,0.229,0.212,0.441,145,96,,,,,,24,7,CINTEX20240428D,CIN
home,28,2,4,2,3,12,31,0.143,0.226,0.25,0.476,152,91,,,,,,27,10,ATLSEA20240430N,SEA
away,29,1,3,1,1,14,30,0.103,0.133,0.138,0.271,127,83,,,,,,24,8,ATLSEA20240430N,ATL
home,33,4,9,3,2,8,35,0.273,0.314,0.364,0.678,117,81,,,,,,27,13,NYYBAL20240430N,BAL
away,29,2,5,2,4,8,33,0.172,0.273,0.379,0.652,118,74,,,,,,24,4,NYYBAL20240430N,NYY
home,33,6,10,6,4,7,37,0.303,0.378,0.485,0.863,131,83,,,,,,27,8,SFBOS20240501N,OS2
away,31,2,5,2,2,8,33,0.161,0.212,0.29,0.502,115,75,,,,,,24,11,SFBOS20240501N,SFB
home,36,5,9,5,4,8,41,0.25,0.317,0.361,0.678,146,96,,,,,,30,12,COLMIA20240502D,MIA
away,32,4,5,3,5,16,40,0.156,0.308,0.25,0.558,168,105,,,,,,29,8,COLMIA20240502D,COL
home,28,2,6,2,5,9,33,0.214,0.333,0.25,0.583,155,95,,,,,,27,16,DETNYY20240503N,NYY
away,31,1,5,1,7,4,38,0.161,0.316,0.161,0.477,144,86,,,,,,24,8,DETNYY20240503N,DET
home,31,1,6,1,4,7,36,0.194,0.306,0.226,0.532,147,89,,,,,,27,5,COLPIT20240504D,PIT
away,28,0,1,0,0,11,28,0.036,0.036,0.071,0.107,115,80,,,,,,26,9,COLPIT20240504D,COL
home,30,5,9,5,3,13,33,0.3,0.364,0.5,0.864,146,94,,,,,,24,3,DETNYY20240505D,NYY
away,29,2,5,2,2,11,31,0.172,0.226,0.241,0.467,132,86,,,,,,21,3,DETNYY20240505D,DET
home,34,6,10,6,4,7,38,0.294,0.368,0.559,0.927,136,83,,,,,,27,3,SFPHI20240506D,HI2
away,31,1,5,1,1,13,33,0.161,0.182,0.194,0.376,133,86,,,,,,24,8,SFPHI20240506D,SFP
home,31,5,8,4,4,4,35,0.258,0.343,0.484,0.827,162,98,,,,,,27,9,CWSTB20240507N,TB2
away,34,1,6,1,1,5,36,0.176,0.222,0.265,0.487,125,81,,,,,,24,11,CWSTB20240507N,CWS
